Артикул;Наименование;Бренд;Николаевская обл.;Одесская обл;Запорожская обл.;Киевская обл.;Херсонская обл.;Цена;Валюта
"KC223";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"25.67";"EUR"
"KC226";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"4";"4";">10";"5";"14.62";"EUR"
"KC24";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";">10";"3";"0";"7";"3.18";"EUR"
"KC241D";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"33.31";"EUR"
"KC28";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"2";"1";"5";"3";"7.36";"EUR"
"KC38";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"9.76";"EUR"
"KC388D";"Фильтр топливный";"MAHLE FILTERS";"1";"1";"0";"0";"0";"10.74";"EUR"
"KC43";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"7.03";"EUR"
"KC46";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"4";"2";">10";"5";"6.93";"EUR"
"KC47";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"18.54";"EUR"
"KC5";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"1";">10";"7";"3.76";"EUR"
"KC502";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"18.31";"EUR"
"KC59";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"2";"1";"0";"0";"6.68";"EUR"
"KC6";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"2";"4";"2";"3.47";"EUR"
"KC63/1D";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";">10";">10";"6";">10";"2";"4.71";"EUR"
"KC67";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"3";"1";"4";"1";"7.07";"EUR"
"KC68";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"1";"1";"0";"6.03";"EUR"
"KC69";"Фильтр топливный Mahle";"MAHLE FILTERS";"6";"0";"0";"4";"2";"11.26";"EUR"
"KC75";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"2";"0";"5.89";"EUR"
"KC80";"Фильтр топливный Mahle";"MAHLE FILTERS";"9";"1";"0";"3";"1";"9.72";"EUR"
"KC82";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"1";"0";"0";"0";"7.90";"EUR"
"KC83";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"4";"5";">10";"8";"9.82";"EUR"
"KC87D";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";"0";"1";"0";"0";"0";"15.59";"EUR"
"KC90";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"2";">10";"0";"12.78";"EUR"
"KC98";"Фильтр топливный Mahle";"MAHLE FILTERS";"6";"2";"2";"2";"1";"18.48";"EUR"
"KC98/1";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"18.54";"EUR"
"KL100/1";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"1";"1";"0";"10.91";"EUR"
"KL100/2";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";">10";">10";"9";">10";"10";"10.71";"EUR"
"KL111";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"10.00";"EUR"
"KL115";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"1";"10.57";"EUR"
"KL120";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"8.89";"EUR"
"KL121";"Фильтр топливный Mahle";"MAHLE FILTERS";"3";"1";"1";"2";"1";"10.72";"EUR"
"KL126";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"0";"0";"1";"0";"11.93";"EUR"
"KL13";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"1";"0";"0";"0";"0.67";"EUR"
"KL131";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"18.74";"EUR"
"KL132";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"18.29";"EUR"
"KL134";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"1";"1";"1";"1";"10.90";"EUR"
"KL14";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"1";"0";"0";"5.21";"EUR"
"KL143";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"0";"0";"1";"0";"13.55";"EUR"
"KL147/1D";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"14.12";"EUR"
"KL147D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";">10";"4";">10";"8";"10.11";"EUR"
"KL149";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"1";"0";"0";"0";"34.79";"EUR"
"KL154";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"1";"4";"0";"17.69";"EUR"
"KL155/1";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"0";"1";"0";"16.05";"EUR"
"KL156/1";"Фильтр топливный Mahle";"MAHLE FILTERS";"9";"1";"1";"1";"1";"13.26";"EUR"
"KL156/3";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"7";"1";">10";"5";"13.17";"EUR"
"KL159";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"9.66";"EUR"
"KL15OF";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"1.82";"EUR"
"KL160/1";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"1";"2";"1";"2";"19.38";"EUR"
"KL169/4D";"KL169/3D Фильтр топливный Mahle";"MAHLE FILTERS";">10";"1";"3";">10";"2";"18.43";"EUR"
"KL173";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"14.43";"EUR"
"KL174";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";">10";"8";"2";">10";"3";"12.89";"EUR"
"KL176/6D";"Фильтр топливный Mahle";"MAHLE FILTERS";"7";"3";"2";"2";"1";"7.94";"EUR"
"KL179";"Фильтр топливный Mahle";"MAHLE FILTERS";"9";"2";"2";"2";"0";"10.40";"EUR"
"KL18";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"1";"1";"0";"6.00";"EUR"
"KL181";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"1";"0";"1";"0";"9.20";"EUR"
"KL185";"Фильтр топливный Mahle";"MAHLE FILTERS";"10";"1";"1";"3";"1";"6.63";"EUR"
"KL188";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"17.07";"EUR"
"KL19";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"2";"0";"3";"1";"17.80";"EUR"
"KL195";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";"4";"0";"2";"2";"0";"13.99";"EUR"
"KL196";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"15.70";"EUR"
"KL2";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"2";">10";"2";"6.93";"EUR"
"KL204";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"14.94";"EUR"
"KL228/2D";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";">10";"2";"3";">10";"2";"21.62";"EUR"
"KL229/2";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"4";"3";"3";"18.79";"EUR"
"KL229/4";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"1";">10";"6";"31.19";"EUR"
"KL232";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"13.39";"EUR"
"KL233/2";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"0";"2";"0";"24.78";"EUR"
"KL245";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"0";"1";"0";"18.18";"EUR"
"KL247";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"7.07";"EUR"
"KL248";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"0";"1";"5.62";"EUR"
"KL28";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"1";"1";"1";"1";"9.12";"EUR"
"KL29";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"12.88";"EUR"
"KL313";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";">10";"5";"7";">10";"3";"13.38";"EUR"
"KL35";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"15.73";"EUR"
"KL36";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"1";"10.19";"EUR"
"KL38";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"2";"1";"0";"20.15";"EUR"
"KL404/16";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"16.31";"EUR"
"KL404/25";"Фильтр топливный";"MAHLE FILTERS";"0";"0";"0";"1";"1";"15.47";"EUR"
"KL409";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"2";"0";"1";"0";"10.38";"EUR"
"KL41";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"2";">10";"0";"8.71";"EUR"
"KL414";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"20.60";"EUR"
"KL416/1";"Фильтр топливный Mahle";"MAHLE FILTERS";"3";"1";"1";"2";"1";"7.35";"EUR"
"KL430";"Фильтр топливный Mahle KL631";"MAHLE FILTERS";"7";"3";"2";"3";"1";"16.74";"EUR"
"KL431";"Фильтр топливный Mahle";"MAHLE FILTERS";"8";"2";"1";"1";"1";"18.96";"EUR"
"KL436";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"1";"0";"1";"0";"9.01";"EUR"
"KL437";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"49.82";"EUR"
"KL438";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"0";"1";"0";"56.19";"EUR"
"KL440/14";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"1";"0";"34.84";"EUR"
"KL440/15";"Фильтр топливный";"MAHLE FILTERS";"0";"0";"0";"1";"0";"23.59";"EUR"
"KL440/18";"Фильтр топливный Mahle KL440/8";"MAHLE FILTERS";"1";"0";"1";"1";"0";"17.62";"EUR"
"KL440/19";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"26.61";"EUR"
"KL440/27";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"31.30";"EUR"
"KL440/6";"Фильтр топливный";"MAHLE FILTERS";"2";"1";"1";"2";"1";"23.64";"EUR"
"KL446";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"2";">10";"3";"17.79";"EUR"
"KL456";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"1";"3";"0";"20.11";"EUR"
"KL458";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"0";"2";"2";"3";"7.36";"EUR"
"KL470";"Фильтр топливный Mahle Aveo";"MAHLE FILTERS";"4";"2";"1";"2";"1";"4.91";"EUR"
"KL478";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"21.59";"EUR"
"KL483";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";"0";"0";"0";"1";"0";"17.61";"EUR"
"KL487";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"9.91";"EUR"
"KL490/1D";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"32.94";"EUR"
"KL490D";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"2";"1";"1";"30.73";"EUR"
"KL505";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"32.56";"EUR"
"KL510";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"7.76";"EUR"
"KL511";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"1";"1";"1";"1";"36.13";"EUR"
"KL536";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"0";"3";"1";"34.40";"EUR"
"KL554";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"16.40";"EUR"
"KL558";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"18.24";"EUR"
"KL559";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"0";"0";"0";"11.98";"EUR"
"KL566";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"1";"0";"40.78";"EUR"
"KL567";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"0";"0";"2";"0";"38.08";"EUR"
"KL571";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"13.72";"EUR"
"KL572";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"4";"2";"10";"3";"13.16";"EUR"
"KL573";"Фильтр топливный Mahle Lanos/Lacetti";"MAHLE FILTERS";">10";"2";"3";"2";"0";"4.97";"EUR"
"KL579D";"Фильтр топливный";"MAHLE FILTERS";"3";"1";"0";"3";"2";"20.67";"EUR"
"KL581";"Фильтр топливный";"MAHLE FILTERS";"8";"1";"1";"2";"1";"32.27";"EUR"
"KL592";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"18.27";"EUR"
"KL596";"Фильтр топливный Mahle";"MAHLE FILTERS";"9";"3";"0";"2";"1";"13.46";"EUR"
"KL600D";"Фильтр топливный";"MAHLE FILTERS";"0";"0";"0";"1";"0";"26.09";"EUR"
"KL61";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"0";"1";"0";"7.58";"EUR"
"KL63";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"2.76";"EUR"
"KL632D";"Фильтр топливный";"MAHLE FILTERS";"0";"1";"0";"0";"0";"24.16";"EUR"
"KL638";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"2";"3";"1";"18.55";"EUR"
"KL63OF";"Фильтр топливный";"MAHLE FILTERS";"0";"0";"0";"1";"0";"2.02";"EUR"
"KL65";"Фильтр топливный Mahle MB Sprinter";"MAHLE FILTERS";"1";"0";"0";"1";"0";"16.49";"EUR"
"KL658";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"18.05";"EUR"
"KL659";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"1";"0";"32.11";"EUR"
"KL66";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"2";"1";"3";"1";"14.54";"EUR"
"KL705";"Фильтр топливный";"MAHLE FILTERS";"2";"1";"1";"1";"0";"20.32";"EUR"
"KL707";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"1";"0";"43.88";"EUR"
"KL71";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"13.92";"EUR"
"KL723D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"2";"3";"1";"21.25";"EUR"
"KL736/1D";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"20.54";"EUR"
"KL749";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"13.65";"EUR"
"KL75";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"4";"3";">10";"2";"8.52";"EUR"
"KL763D";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"21.77";"EUR"
"KL77";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"17.20";"EUR"
"KL779";"KL418 Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"0";"2";"1";"30.40";"EUR"
"KL780";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"26.86";"EUR"
"KL79";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"3";">10";"4";"5.59";"EUR"
"KL792";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"27.29";"EUR"
"KL82";"Фильтр топливный Mahle";"MAHLE FILTERS";"8";"0";"2";"3";"2";"39.74";"EUR"
"KL83";"Фильтр топливный Mahle Lanos";"MAHLE FILTERS";">10";"3";"3";">10";"2";"6.35";"EUR"
"KL834";"Фильтр топливный Mahle";"MAHLE FILTERS";"10";"2";"2";"5";"1";"21.93";"EUR"
"KL84";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"3";"2";"1";"6.53";"EUR"
"KL85";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"10.90";"EUR"
"KL86";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"6.47";"EUR"
"KL88";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"1";"2";"1";"1";"11.03";"EUR"
"KL9";"Фильтр топливный Mahle";"MAHLE FILTERS";"3";"2";"1";"3";"1";"14.86";"EUR"
"KL96";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"1";"1";"1";"0";"44.14";"EUR"
"KL99";"Фильтр топливный Mahle";"MAHLE FILTERS";"3";"1";"0";"1";"0";"19.32";"EUR"
"KLH12";"Фильтр топливный Mahle";"MAHLE FILTERS";"3";"1";"0";"1";"0";"37.03";"EUR"
"KLH29/1";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"46.83";"EUR"
"KLH42";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"39.18";"EUR"
"KLH44/22";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"18.96";"EUR"
"KX178D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"1";"2";"6";"2";"14.65";"EUR"
"KX181D";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"0";"0";"2";"0";"9.46";"EUR"
"KX183D";"Фильтр топливный Mahle";"MAHLE FILTERS";"5";"1";"2";"3";"1";"9.67";"EUR"
"KX191/1D";"Фильтр топливный Mahle";"MAHLE FILTERS";"6";"2";"1";"4";"0";"11.63";"EUR"
"KX192D";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"1";"2";"2";"1";"30.52";"EUR"
"KX201D";"Фильтр топливный Mahle";"MAHLE FILTERS";"6";"1";"2";"3";"0";"10.79";"EUR"
"KX204D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"9";"7";">10";"2";"8.72";"EUR"
"KX206D";"KX83D Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"1";"0";"2";"5.14";"EUR"
"KX208D";"Фильтр топливный Mahle";"MAHLE FILTERS";"8";"2";"3";"3";"2";"14.12";"EUR"
"KX217D";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"0";"1";"0";"13.29";"EUR"
"KX218D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"1";"5";"2";"8.76";"EUR"
"KX220D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"4";">10";"6";"14.00";"EUR"
"KX222D";"Фильтр топливный";"MAHLE FILTERS";"6";"2";"2";"5";"1";"14.27";"EUR"
"KX228D";"Фильтр топливный Mahle";"MAHLE FILTERS";"8";"2";"2";"2";"2";"15.54";"EUR"
"KX229D";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"1";"2";"1";"19.45";"EUR"
"KX23";"Фильтр топливный Mahle";"MAHLE FILTERS";"3";"1";"2";"5";"1";"3.14";"EUR"
"KX231D";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"1";"6.07";"EUR"
"KX24";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"1";"1";"4";"0";"5.15";"EUR"
"KX266D";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"1";"0";"21.05";"EUR"
"KX268D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"2";"5";"1";"5.96";"EUR"
"KX331D";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"2";"1";"2";"0";"11.85";"EUR"
"KX338/22D";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"0";"0";"0";"0";"16.54";"EUR"
"KX338/26D";"Фильтр топливный Mahle";"MAHLE FILTERS";"10";"4";"1";"0";"0";"10.03";"EUR"
"KX341";"Фильтр топливный Mahle";"MAHLE FILTERS";"7";"2";"1";"0";"1";"22.81";"EUR"
"KX342";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"2";"2";"0";"0";"15.75";"EUR"
"KX36D";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"2";"0";"3.72";"EUR"
"KX386";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"0";"1";"0";"16.95";"EUR"
"KX393D";"KX219D Фильтр топливный Mahle";"MAHLE FILTERS";"8";"1";"0";"2";"2";"17.96";"EUR"
"KX63/1";"Фильтр топливный Mahle";"MAHLE FILTERS";"0";"0";"1";"0";"0";"4.69";"EUR"
"KX65D";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"0";"1";"1";"5.53";"EUR"
"KX67/2D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"5";"0";">10";"3";"6.21";"EUR"
"KX68D";"Фильтр топливный Mahle";"MAHLE FILTERS";"5";"3";"2";"6";"2";"4.33";"EUR"
"KX70D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"3";"1";"3";"2";"5.58";"EUR"
"KX73/1D";"Фильтр топливный Mahle";"MAHLE FILTERS";"7";"2";"2";"2";"0";"8.99";"EUR"
"KX78D";"Фильтр топливный Mahle";"MAHLE FILTERS";"5";"2";"1";"1";"0";"6.19";"EUR"
"KX79D";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"0";"0";"0";"0";"5.96";"EUR"
"KX80D";"Фильтр топливный Mahle";"MAHLE FILTERS";"2";"1";"1";"1";"0";"9.89";"EUR"
"KX84D";"Фильтр топливный Mahle";"MAHLE FILTERS";"4";"2";"1";"5";"1";"6.97";"EUR"
"KX85D";"Фильтр топливный Mahle";"MAHLE FILTERS";">10";"1";"1";"4";"2";"9.67";"EUR"
"KX86/1D";"Фильтр топливный";"MAHLE FILTERS";"1";"0";"0";"0";"0";"16.08";"EUR"
"KX87D";"Фильтр топливный Mahle";"MAHLE FILTERS";"1";"1";"0";"2";"1";"8.85";"EUR"
"LA100";"Фильтр салонный Mahle";"MAHLE FILTERS";"0";"0";"1";"0";"0";"5.67";"EUR"
"LA107";"Фильтр салонный Mahle";"MAHLE FILTERS";"0";"0";"1";"0";"0";"7.38";"EUR"
"LA108";"Фильтр салонный Mahle";"MAHLE FILTERS";"1";"0";"2";"1";"0";"8.27";"EUR"
"LA117";"Фильтр салонный Mahle";"MAHLE FILTERS";"2";"2";"2";"2";"0";"6.24";"EUR"
"LA118";"Фильтр салонный Mahle";"MAHLE FILTERS";"1";"1";"0";"1";"0";"8.35";"EUR"
"LA119";"Фильтр салонный Mahle";"MAHLE FILTERS";"2";"1";"2";"2";"0";"6.60";"EUR"
"LA120";"Фильтр салонный Mahle";"MAHLE FILTERS";"6";"2";"1";"7";"3";"6.08";"EUR"
"LA121";"Фильтр салонный Mahle";"MAHLE FILTERS";"4";"1";"0";"3";"1";"12.85";"EUR"
"LA122";"Фильтр салонный Mahle";"MAHLE FILTERS";"2";"1";"0";"2";"1";"7.62";"EUR"
